Contract,Date,pClose,pSettle,Open,High,Low,Close,Settle,UpDown1,UpDown2,Volume,Amount,OpenInterest
p0805,2007-10-29,,7800,9636.80234444232,9722.206341267312,9636.80234444232,9722.206341267312,8414,624,614,2098,17653.44,1652
p0805,2007-10-30,8424,8414,10040.74016726325,10040.74016726325,9867.623957482847,9893.014334917305,8608,158,194,18646,160536.86,4286
p0805,2007-10-31,8572,8608,9812.226770353116,9872.240389743658,9809.918554222713,9828.38428326596,8530,-92,-78,5142,43866.46,3774
p0805,2007-11-01,8516,8530,10040.74016726325,10040.74016726325,9867.623957482847,9923.02114461258,8606,68,76,3222,27729.31,3526
p0805,2007-11-02,8598,8606,9867.623957482847,9883.781470395688,9833.000715526769,9856.082876830824,8540,-66,-66,3304,28222.76,3362
p0805,2007-11-05,8540,8540,9867.623957482847,9957.644386568658,9867.623957482847,9925.32936074298,8598,60,58,4428,38072.54,3640
p0805,2007-11-06,8600,8598,9920.712928482175,10006.116925307173,9920.712928482175,10001.500493046366,8628,68,30,3726,32151.3,3388
p0805,2007-11-07,8666,8628,10075.363409219332,10246.171402869333,10075.363409219332,10174.616702826768,8816,188,188,4184,36886.26,2866
p0805,2007-11-08,8816,8816,10109.986651175408,10269.25356417338,10109.986651175408,10225.397457695683,8846,44,30,4490,39725.02,2754
p0805,2007-11-09,8860,8846,10225.397457695683,10326.958967433515,10225.397457695683,10283.10286095581,8902,64,56,4764,42416.76,2498
p0805,2007-11-12,8910,8902,10283.10286095581,10306.185022259859,10179.233135087568,10197.698864130818,8852,-66,-50,2406,21302.51,2174
p0805,2007-11-13,8836,8852,10133.068812479467,10352.349344867971,10112.294867305818,10326.958967433515,8848,96,-4,2842,25150.86,2144
p0805,2007-11-14,8948,8848,10329.267183563916,10340.808264215946,10239.246754478112,10271.561780303786,8904,52,56,3498,31149.37,2736
p0805,2007-11-15,8900,8904,10322.342535172702,10352.349344867971,10250.787835130139,10271.561780303786,8926,-4,22,3364,30027.76,2696
p0805,2007-11-16,8900,8926,10271.561780303786,10271.561780303786,10043.048383393658,10068.438760828118,8820,-202,-106,3674,32409.47,2396
p0805,2007-11-19,8724,8820,10096.137354392982,10153.84275765311,9992.267628524734,10066.130544697713,8700,-98,-120,8460,73617.47,2264
p0805,2007-11-20,8722,8700,10026.890870480816,10026.890870480816,9648.343425094341,9717.589909006503,8544,-280,-156,7378,63039.47,2054
p0805,2007-11-21,8420,8544,9809.918554222713,10031.507302741624,9798.377473570688,10029.199086611223,8602,146,58,7118,61238.63,1904
p0805,2007-11-22,8690,8602,9948.411522047038,10128.452380218654,9948.411522047038,10082.288057610544,8748,134,146,5548,48540.53,1982
p0805,2007-11-23,8736,8748,10109.986651175408,10128.452380218654,9980.726547872711,10052.281247915278,8706,-38,-42,11516,100271.12,2026
p0805,2007-11-26,8710,8706,10121.527731827437,10232.322106086893,10114.603083436223,10160.767406044322,8808,98,102,11676,102853.16,2220
p0805,2007-11-27,8804,8808,10109.986651175408,10109.986651175408,10006.116925307173,10040.74016726325,8720,-108,-88,9636,84037.9,2124
p0805,2007-11-28,8700,8720,9962.26081882947,9989.95941239433,9867.623957482847,9867.623957482847,8588,-170,-132,14248,122362.66,2616
p0805,2007-11-29,8550,8588,9897.63076717812,9925.32936074298,9694.50774770245,9835.308931657177,8524,-66,-64,14088,120100.22,2746
p0805,2007-11-30,8522,8524,9809.918554222713,9863.007525222038,9763.75423161461,9809.918554222713,8512,-24,-12,6076,51724.65,2598
p0805,2007-12-03,8500,8512,9809.918554222713,9925.32936074298,9807.61033809231,9821.459634874742,8540,-2,28,4508,38499.8,2550
p0805,2007-12-04,8510,8540,9821.459634874742,9925.32936074298,9821.459634874742,9890.706118786897,8568,30,28,7216,61834.6,2628
p0805,2007-12-05,8570,8568,9909.171847830152,9966.87725109028,9844.541796178795,9897.63076717812,8560,8,-8,12412,106256.68,2720
p0805,2007-12-06,8576,8560,9869.932173613255,9869.932173613255,9777.603528397045,9786.836392918662,8508,-80,-52,13278,112971.5,2646
p0805,2007-12-07,8480,8508,9833.000715526769,9879.165038134877,9726.822773528123,9876.85682200447,8520,50,12,13962,118963.68,3156
p0805,2007-12-10,8558,8520,9846.850012309202,9886.089686526091,9800.685689701091,9835.308931657177,8518,2,-2,14402,122698.06,3176
p0805,2007-12-11,8522,8518,9812.226770353116,9934.562225264604,9812.226770353116,9897.63076717812,8542,58,24,18592,158825.61,3410
p0805,2007-12-12,8576,8542,9911.480063960553,9911.480063960553,9809.918554222713,9830.692499396368,8534,-24,-8,15662,133679.48,3478
p0805,2007-12-13,8518,8534,9916.096496221362,10241.554970608515,9879.165038134877,10052.281247915278,8694,176,160,15740,136864.1,3196
p0805,2007-12-14,8710,8694,9983.03476400312,10073.055193088929,9983.03476400312,10054.589464045688,8702,18,8,14406,125375.03,3228
p0805,2007-12-17,8712,8702,10096.137354392982,10153.84275765311,10066.130544697713,10139.993460870679,8776,84,74,7196,63156.28,3380
p0805,2007-12-18,8786,8776,10139.993460870679,10139.993460870679,10017.658005959192,10017.658005959192,8730,-96,-46,17510,152866.98,3294
p0805,2007-12-19,8680,8730,9983.03476400312,10174.616702826768,9983.03476400312,10139.993460870679,8726,56,-4,15608,136207.68,3430
p0805,2007-12-20,8786,8726,10165.383838305139,10165.383838305139,10089.212706001763,10098.445570523385,8752,24,26,17482,153019.52,4086
p0805,2007-12-21,8750,8752,10100.75378665378,10202.315296391625,10052.281247915278,10176.92491895717,8766,66,14,15848,138951.66,4060
p0805,2007-12-24,8818,8766,10153.84275765311,10426.212261040942,10121.527731827437,10382.356154563244,8942,230,176,18810,168204.86,6008
p0805,2007-12-25,8996,8942,10437.75334169296,10437.75334169296,10336.191831955135,10405.438315867295,8994,74,52,17068,153531.18,6036
p0805,2007-12-26,9016,8994,10433.136909432158,10673.191386994316,10410.054748128103,10670.883170863906,9178,252,184,22664,208011.18,7570
p0805,2007-12-27,9246,9178,10684.732467646341,10947.869106512553,10684.732467646341,10733.205006384855,9376,122,198,18712,175444.26,8474
p0805,2007-12-28,9300,9376,10733.205006384855,10860.156893557149,10627.027064386213,10730.896790254445,9354,-78,-22,18694,174878.92,10338
p0805,2008-01-02,,9354,10733.205006384855,10802.451490297015,10668.574954733504,10728.588574124053,9288,-58,-66,25098,233140.19,12690
p0805,2008-01-03,9296,9288,10825.53365160107,11005.574509772681,10825.53365160107,10876.314406469979,9482,136,194,27024,256262.42,14354
p0805,2008-01-04,9424,9482,10906.32121616526,10959.41018716458,10860.156893557149,10887.855487122013,9454,-48,-28,26854,253882.52,15132
p0805,2008-01-07,9434,9454,10871.697974209172,10980.184132338227,10853.232245165931,10904.013000034849,9474,-6,20,27720,262624.76,15470
p0805,2008-01-08,9448,9474,10929.403377469313,10968.6430516862,10857.848677426742,10929.403377469313,9448,-4,-26,30842,291400.29,15558
p0805,2008-01-09,9470,9448,10998.649861381467,11056.3552646416,10906.32121616526,11051.738832380794,9510,128,62,24082,229021.06,15894
p0805,2008-01-10,9576,9510,10975.56770007742,11160.224990509842,10975.56770007742,11114.060667901736,9606,120,96,27232,261609.58,15974
p0805,2008-01-11,9630,9606,11114.060667901736,11402.5876842024,11114.060667901736,11358.731577724702,9740,236,134,28108,273785.02,16468
p0805,2008-01-14,9842,9740,11527.231355244297,11688.806484372668,11483.375248766592,11688.806484372668,10054,388,314,12548,126167.35,17116
