Contract,Date,pClose,pSettle,Open,High,Low,Close,Settle,UpDown1,UpDown2,Volume,Amount,OpenInterest
p0901,2008-11-03,4554,4512,5221.10831364147,5375.47151595783,5196.1377956197,5375.47151595783,4678,224,166,33718,157787.72,33502
p0901,2008-11-04,4736,4678,5357.31113921472,5486.70382350932,5275.58944387077,5418.60241072269,4742,96,64,118248,560918.79,35914
p0901,2008-11-05,4774,4742,5593.39603687503,5634.25688454701,5507.1342473453,5525.2946240884,4900,126,158,74580,365481.89,34970
p0901,2008-11-06,4868,4900,5334.61066828585,5414.06231653691,5314.18024444986,5323.26043282141,4732,-210,-168,50444,238763.6,34106
p0901,2008-11-07,4690,4732,5336.88071537873,5336.88071537873,5164.35713631927,5332.34062119296,4630,-34,-102,79238,367028.82,33392
p0901,2008-11-10,4698,4630,5448.11302293022,5516.21443571685,5402.71208107247,5516.21443571685,4834,230,204,33282,160931.24,34732
p0901,2008-11-11,4860,4834,5427.68259909424,5566.15547176038,5359.58118630761,5400.44203397959,4818,-76,-16,192930,929613.35,37684
p0901,2008-11-12,4758,4818,5311.91019735697,5361.8512334005,5196.1377956197,5223.37836073435,4636,-216,-182,96762,448671.73,37822
p0901,2008-11-13,4602,4636,5103.06586481131,5103.06586481131,5000.91374563137,5000.91374563137,4418,-230,-218,43918,194109.73,38400
p0901,2008-11-14,4406,4418,5062.20501713933,5148.46680666906,4937.35242703052,4989.56351016693,4426,-22,8,185218,820105.38,47450
p0901,2008-11-17,4396,4426,4937.35242703052,5139.38661829751,4916.92200319453,5039.50454621046,4460,14,34,165082,736416.65,42370
p0901,2008-11-18,4440,4460,5028.15431074602,5109.87600608997,4980.48332179538,4987.29346307405,4444,-66,-16,123764,550210.08,39334
p0901,2008-11-19,4394,4444,5005.45383981715,5064.47506423222,5005.45383981715,5059.93497004645,4434,14,-10,52898,234569.93,38220
p0901,2008-11-20,4458,4434,4919.19205028742,5000.91374563137,4919.19205028742,4944.16256830918,4370,-78,-64,55598,243000.76,36412
p0901,2008-11-21,4356,4370,4769.36894215684,4866.980967151,4712.61776483464,4835.20030785058,4202,-110,-168,31732,133389.76,34086
p0901,2008-11-24,4260,4202,4844.28049622213,4912.38190900875,4812.4998369217,4869.25101424389,4278,88,76,34314,146812.03,32446
p0901,2008-11-25,4290,4278,5007.72388691003,5080.36539388243,5005.45383981715,5041.77459330335,4438,164,160,37456,166304.19,28706
p0901,2008-11-26,4442,4438,5050.8547816749,5198.40784271259,5019.07412237447,5191.59770143393,4494,136,56,41650,187204.31,25370
p0905,2008-11-27,4810,4770,5213.18438626318,5306.00713102894,5131.15498391204,5152.74166874128,4850,4,80,74634,362054,33610
p0905,2008-11-28,4774,4850,5234.77107109242,5234.77107109242,5094.45761970232,5182.96302750223,4776,-48,-74,55754,266316.54,33024
p0905,2008-12-01,4802,4776,5144.10699480958,5280.10310923384,5085.82294577062,5234.77107109242,4808,74,32,80374,386522.83,36592
p0905,2008-12-02,4850,4808,5072.87093487307,5111.72696756571,4999.47620645363,5014.5868858341,4684,-162,-124,63850,299174.8,35248
p0905,2008-12-03,4646,4684,5018.90422279995,5092.29895121939,4977.88952162438,5068.55359790722,4678,12,-6,60502,283075.51,35892
p0905,2008-12-04,4696,4678,5062.07759245845,5137.63098936081,4926.08147803419,4982.20685859023,4672,-62,-6,87818,410418.98,37248
p0905,2008-12-05,4616,4672,4826.78272781965,4908.81213017079,4792.24403209285,4792.24403209285,4452,-232,-220,22772,101414.08,34396
p0905,2008-12-08,4440,4452,4749.07066243436,5044.80824459505,4738.27732001974,5044.80824459505,4612,222,160,69474,320516.96,39190
p0905,2008-12-09,4674,4612,4986.52419555608,5046.96691307797,4939.03348893173,4956.30283679513,4622,-20,10,71766,331825.58,37674
p0905,2008-12-10,4592,4622,5018.90422279995,5202.39104384855,4997.3175379707,5172.1696850876,4736,170,114,106314,503616.22,47042
p0905,2008-12-11,4792,4736,5167.85234812175,5252.04041895582,5126.83764694619,5226.13639716072,4802,106,66,119240,572801.81,53126
p0905,2008-12-12,4842,4802,5258.51642440459,5362.13251158498,4930.39881500004,5062.07759245845,4804,-112,2,175246,842119.62,52184
p0905,2008-12-15,4690,4804,5163.5350111559,5288.73778316554,5150.58300025836,5260.67509288752,4860,70,56,152888,743086.83,56218
p0905,2008-12-16,4874,4860,5116.04430453156,5185.12169598515,5042.64957611212,5083.66427728769,4728,-150,-132,89068,421242.84,52542
p0905,2008-12-17,4710,4728,5137.63098936081,5176.48702205345,5113.88563604864,5135.47232087789,4770,30,42,75768,361442.05,51512
p0905,2008-12-18,4758,4770,4990.84153252193,5062.07759245845,4990.84153252193,5001.63487493655,4658,-136,-112,53748,250448.03,49676
p0905,2008-12-19,4634,4658,4971.41351617561,5090.14028273646,4960.62017376098,5083.66427728769,4674,52,16,57698,269703.94,47358
p0905,2008-12-22,4710,4674,5159.21767419006,5295.21378861431,5128.99631542911,5295.21378861431,4862,232,188,77554,377214.41,52194
p0905,2008-12-23,4906,4862,5267.15109833629,5271.46843530214,5176.48702205345,5182.96302750223,4836,-60,-26,73612,356002.82,48128
p0905,2008-12-24,4802,4836,5245.56441350705,5299.53112558017,5223.9777286778,5284.42044619969,4876,60,40,60882,296911.47,49370
p0905,2008-12-25,4896,4876,5269.30976681922,5524.03264780433,5256.35775592167,5495.96995752631,5048,216,172,183174,924880.04,70810
p0905,2008-12-26,5092,5048,5506.76329994093,5575.84069139453,5418.25789214102,5448.47925090197,5090,0,42,311562,1586178.82,89708
p0905,2008-12-29,5048,5090,5718.31281126756,5718.31281126756,5508.92196842386,5549.93666959943,5164,52,74,252318,1303372.76,84482
p0905,2008-12-30,5142,5164,5504.60463145801,5599.5860447067,5446.32058241904,5472.22460421414,5118,-94,-46,183666,940182.71,78602
p0905,2008-12-31,5070,5118,5480.85927814584,5491.65262056046,5325.43514737526,5398.8298757947,4994,-116,-124,161348,806010.19,70168
p0905,2009-01-05,5002,4994,5526.19131628726,5655.71142526274,5489.49395207754,5634.12474043349,5172,226,178,213996,1107199.4,72844
p0905,2009-01-06,5220,5172,5677.29811009199,5860.78493114059,5623.33139801887,5860.78493114059,5356,258,184,120076,643181.42,79888
p0905,2009-01-07,5430,5356,6068.01710550136,6068.01710550136,5841.35691479427,5908.27563776494,5546,118,190,140236,777866.1,74334
p0905,2009-01-08,5474,5546,5720.47147975048,5856.46759417474,5720.47147975048,5791.707539687,5374,-180,-172,121320,652070.4,72878
p0905,2009-01-09,5366,5374,5808.97688755039,5990.30504011607,5808.97688755039,5966.5596868039,5496,154,122,171052,940106.32,76862
p0905,2009-01-12,5528,5496,5990.30504011607,6171.63319268175,5990.30504011607,5998.93971404777,5654,62,158,132846,751305.64,76852
p0905,2009-01-13,5558,5654,5798.18354513577,5798.18354513577,5798.18354513577,5798.18354513577,5372,-282,-282,6096,32747.71,73298
p0905,2009-01-14,5372,5372,5798.18354513577,5888.84762141861,5711.83680581878,5834.88090934549,5370,34,-2,212854,1143055.17,74534
p0905,2009-01-15,5406,5370,5698.88479492124,5729.10615368218,5603.90338167255,5616.8553925701,5250,-166,-120,109320,573970.66,71922
p0905,2009-01-16,5204,5250,5681.61544705784,5742.05816457973,5655.71142526274,5662.18743071152,5282,-4,32,102580,541835.56,72728
p0905,2009-01-19,5246,5282,5698.88479492124,5718.31281126756,5614.69672408717,5638.44207739934,5260,-58,-22,72070,379134.7,68182
p0905,2009-01-20,5224,5260,5642.75941436519,5662.18743071152,5565.0473489799,5590.951370775,5196,-80,-64,75168,390714.1,66302
p0905,2009-01-21,5180,5196,5567.20601746283,5657.87009374567,5517.55664235556,5625.4900665018,5188,16,-8,88446,458947.84,66722
p0905,2009-01-22,5212,5188,5692.40878947246,5692.40878947246,5560.73001201405,5638.44207739934,5214,36,26,61880,322709.36,65112
p0905,2009-01-23,5224,5214,5580.15802836037,5612.53805560424,5571.52335442868,5590.951370775,5182,-34,-32,32982,170926.89,62820
p0905,2009-02-02,5180,5182,5491.65262056046,5524.03264780433,5357.81517461913,5366.44984855083,5040,-210,-142,43142,217493.27,64526
p0905,2009-02-03,4972,5040,5342.70449523866,5562.88868049698,5329.75248434111,5547.7780011165,5084,100,44,111604,567431.51,69314
p0905,2009-02-04,5140,5084,5532.66732173603,5662.18743071152,5530.50865325311,5634.12474043349,5200,136,116,86886,451826.27,68764
p0905,2009-02-05,5220,5200,5601.74471318962,5675.13944160907,5508.92196842386,5556.4126750482,5184,-52,-16,136382,707240.75,68722
p0905,2009-02-06,5148,5184,5614.69672408717,5733.42349064803,5614.69672408717,5688.09145250661,5266,86,82,138482,729318.1,72988
p0905,2009-02-09,5270,5266,5677.29811009199,5966.5596868039,5677.29811009199,5966.5596868039,5452,262,186,157654,859736.08,73968
p0905,2009-02-10,5528,5452,5988.14637163315,6029.16107280872,5882.37161596983,5970.87702376975,5524,80,72,164300,907593.98,80136
p0905,2009-02-11,5532,5524,5893.16495838446,5970.87702376975,5664.34609919444,5759.32751244313,5434,-188,-90,188514,1024442.34,69086
p0905,2009-02-12,5336,5434,5785.23153423822,5815.45289299917,5679.45677857491,5776.59686030652,5334,-82,-100,115508,616199.28,66784
p0905,2009-02-13,5352,5334,5815.45289299917,5899.64096383323,5785.23153423822,5895.32362686738,5412,128,78,100872,546018.47,68126
p0905,2009-02-16,5462,5412,5901.79963231616,5951.44900742343,5744.21683306265,5884.53028445276,5442,40,30,206220,1122339.53,70820
p0905,2009-02-17,5452,5442,5845.67425176012,5927.70365411125,5800.3422136187,5802.50088210162,5436,-66,-6,153472,834399.88,68366
p0905,2009-02-18,5376,5436,5575.84069139453,5612.53805560424,5575.84069139453,5575.84069139453,5166,-270,-270,6804,35161.58,65366
p0905,2009-02-19,5166,5166,5459.27259331659,5562.88868049698,5403.14721276055,5411.78188669225,5074,-152,-92,139902,709892.61,59690
p0905,2009-02-20,5014,5074,5465.74859876537,5562.88868049698,5442.00324545319,5524.03264780433,5118,44,44,100116,512450.5,56800
p0905,2009-02-23,5118,5118,5504.60463145801,5655.71142526274,5470.06593573122,5640.60074588227,5166,108,48,95810,495033.93,57714
p0905,2009-02-24,5226,5166,5536.98465870188,5599.5860447067,5420.41656062395,5489.49395207754,5108,-80,-58,100726,514664.65,53700
p0905,2009-02-25,5086,5108,5610.37938712132,5666.50476767737,5556.4126750482,5577.99935987745,5190,60,82,56828,294961.74,52642
p0905,2009-02-26,5168,5190,5666.50476767737,5694.56745795539,5547.7780011165,5556.4126750482,5220,-42,30,74496,388931.35,47298
p0905,2009-02-27,5148,5220,5569.36468594575,5575.84069139453,5450.63791938489,5519.71531083848,5104,-106,-116,59848,305578.94,45370
p0905,2009-03-02,5114,5104,5515.39797387263,5595.26870774085,5491.65262056046,5526.19131628726,5136,16,32,49510,254323.74,44220
p0905,2009-03-03,5120,5136,5353.49783765328,5474.38327269707,5353.49783765328,5465.74859876537,5052,-72,-84,33980,171683.37,40762
p0909,2009-03-04,5060,5062,5444.14484936313,5530.55984697207,5444.14484936313,5530.55984697207,5080,58,18,47776,242712.55,51480
p0909,2009-03-05,5120,5080,5638.57859398324,5638.57859398324,5498.15422286872,5504.63534768939,5150,16,70,53802,277106.12,54328
p0909,2009-03-06,5096,5150,5487.3523481676,5575.92772071676,5476.55047346648,5571.60697083632,5126,8,-24,67828,347739.45,59340
p0909,2009-03-09,5158,5126,5645.05971880392,5712.03134195084,5597.531470119,5649.38046868436,5246,104,120,133066,698134.61,62630
