Contract,Date,pClose,pSettle,Open,High,Low,Close,Settle,UpDown1,UpDown2,Volume,Amount,OpenInterest
p1301,2012-08-01,7860,7846,9282.355902963232,9329.474460846293,9235.237345080173,9251.72884033924,7886,8,40,230106,18149736680,210718
p1301,2012-08-02,7854,7886,9199.898426667873,9199.898426667873,9065.610536701146,9150.423940890658,7744,-118,-142,326368,25278255760,221334
p1301,2012-08-03,7768,7744,9070.322392489454,9164.559508255577,9067.9664645953,9129.22058984328,7742,6,-2,194452,15055662320,212040
p1301,2012-08-06,7750,7742,9070.322392489454,9211.678066138638,9065.610536701146,9173.98321983219,7782,46,40,232664,18107591280,211056
p1301,2012-08-07,7788,7782,9166.91543614973,9239.94920086847,9166.91543614973,9218.745849821096,7818,44,36,193630,15138659920,222944
p1301,2012-08-08,7826,7818,9190.47471509126,9199.898426667873,9133.932445631588,9138.644301419892,7774,-60,-44,200732,15608512920,227614
p1301,2012-08-09,7758,7774,9173.98321983219,9258.7966240217,9162.203580361424,9251.72884033924,7818,80,44,236606,18500410320,228182
p1301,2012-08-10,7854,7818,9282.355902963232,9287.06775875154,9086.813887748525,9124.508734054974,7784,-72,-34,320382,24943026560,240272
p1301,2012-08-13,7746,7784,9188.118787197107,9216.389921926946,9112.729094584209,9115.08502247836,7778,-46,-6,254684,19811781160,244342
p1301,2012-08-14,7738,7778,9093.881671430981,9126.864661949126,8938.390430416877,9058.542753018686,7662,-88,-116,403238,30898362120,250116
p1301,2012-08-15,7690,7662,9030.27161828885,9105.66131090175,8987.864916194094,9079.746104066066,7692,46,30,298532,22964428080,227194
p1301,2012-08-16,7708,7692,9103.3053830076,9129.22058984328,9046.763113547917,9112.729094584209,7722,44,30,287284,22187099840,237600
p1301,2012-08-17,7736,7722,9141.000229314046,9256.44069612755,9131.576517737432,9204.61028245618,7820,92,98,413684,32357799520,237920
p1301,2012-08-20,7814,7820,9242.305128762628,9242.305128762628,9183.406931408801,9197.54249877372,7818,-12,-2,220434,17236341040,237650
p1301,2012-08-21,7808,7818,9247.016984550934,9265.864407704159,9176.339147726341,9232.881417186016,7834,20,16,247902,19420983360,221722
