Contract,Date,pClose,pSettle,Open,High,Low,Close,Settle,UpDown1,UpDown2,Volume,Amount,OpenInterest
p1401,2013-08-01,5424,5426,6163.893868043252,6191.1979383335865,6136.589797752918,6157.067850470669,5416,-14,-10,317060,17176564080,669130
p1401,2013-08-02,5412,5416,6177.54590318842,6273.110149204594,6170.719885615835,6264.008792441149,5470,90,54,590064,32277545040,695010
p1401,2013-08-05,5506,5470,6241.255400532536,6241.255400532536,6182.096581570142,6195.748616715312,5454,-24,-16,336382,18348055520,700006
p1401,2013-08-06,5446,5454,6216.226669433063,6220.777347814785,6163.893868043252,6168.444546424975,5440,-32,-14,273202,14864907200,696012
p1401,2013-08-07,5422,5440,6143.4158153255,6150.241832898083,6059.228265263632,6061.503604454495,5354,-112,-86,410118,21959740160,682410
p1401,2013-08-08,5328,5354,6054.6775868819095,6104.7350490808585,6047.851569309327,6063.778943645357,5342,-24,-12,320742,17139170320,678072
p1401,2013-08-09,5330,5342,6075.155639599664,6159.34318966153,6075.155639599664,6095.633692317413,5378,16,36,514098,27649707600,690340
p1401,2013-08-12,5358,5378,6091.08301393569,6179.821242379282,6081.981657172247,6159.34318966153,5390,36,12,501566,27038395160,741066
p1401,2013-08-13,5414,5390,6223.052687005646,6366.399056029908,6213.951330242201,6336.819646548709,5546,180,156,791636,43909920680,695242
p1401,2013-08-14,5570,5546,6336.819646548709,6400.529143892828,6250.356757295981,6268.559470822872,5556,-36,10,730174,40571339760,706954
p1401,2013-08-15,5510,5556,6293.588201922345,6348.196342503016,6282.211505968041,6304.964897876653,5550,-14,-6,491876,27308649000,708922
p1401,2013-08-16,5542,5550,6382.326430365937,6459.687962855219,6355.022360075601,6382.326430365937,5632,60,82,517682,29162754000,636392
p1401,2013-08-19,5610,5632,6427.8332141831615,6455.137284473498,6384.601769556798,6409.6305006562725,5640,2,8,358864,20240575800,626080
p1401,2013-08-20,5634,5640,6461.963302046082,6466.513980427803,6282.211505968041,6302.689558685791,5584,-100,-56,535970,29931097280,618842
p1401,2013-08-21,5540,5584,6302.689558685791,6336.819646548709,6270.834810013734,6298.13888030407,5542,-48,-42,286308,15872513920,613304
